phase_1_address,score,e911_address
44 hemenway hill rd,1.0,44 HEMENWAY HILL RD
938 basin harbor rd,1.0,938 BASIN HARBOR RD
128 bates rd,1.0,128 BATES RD
20 robbins rd,1.0,20 ROBBINS RD
560 main st,1.0,560 MAIN ST
948 lapham bay rd,1.0,948 LAPHAM BAY RD
900 cider mill rd,1.0,900 CIDER MILL RD
770 cider mill rd,1.0,770 CIDER MILL RD
711 delong rd,1.0,711 DELONG RD
1367 shacksboro rd,1.0,1367 SHACKSBORO RD
4467 richville rd,1.0,4467 RICHVILLE RD
175 meadow ln,1.0,175 MEADOW LN
323 shacksboro rd,1.0,323 SHACKSBORO RD
2011 n bingham st,1.0,2011 N BINGHAM ST
1332 cider mill rd,1.0,1332 CIDER MILL RD
655 cider mill rd,1.0,655 CIDER MILL RD
312 palmer rd,1.0,312 PALMER RD
440 dewey rd,1.0,440 DEWEY RD
27 andrus pitch,1.0,27 ANDRUS PITCH
130 beaver brook rd,1.0,130 BEAVER BROOK RD
703 cider mill rd,1.0,703 CIDER MILL RD
1091 leland rd,1.0,1091 LELAND RD
2240 shard villa rd,1.0,2240 SHARD VILLA RD
155 pidgeon rd e,1.0,155 PIDGEON RD E
659 shard villa rd,1.0,659 SHARD VILLA RD
536 richville rd,1.0,536 RICHVILLE RD
297 lapham bay rd,1.0,297 LAPHAM BAY RD
357 n orwell rd,1.0,357 N ORWELL RD
1928 leland rd,1.0,1928 LELAND RD
896 ridge rd,1.0,896 RIDGE RD
70 dewey rd,1.0,70 DEWEY RD
3143 richville rd,1.0,3143 RICHVILLE RD
99 sunset orchard rd,1.0,99 SUNSET ORCHARD RD
1712 sperry rd,1.0,1712 SPERRY RD
380 robbins rd,1.0,380 ROBBINS RD
97 wildflower ln,1.0,97 WILDFLOWER Ln
979 bates rd,1.0,979 BATES RD
457 cider mill rd,1.0,457 CIDER MILL RD
1019 cider mill rd,1.0,1019 CIDER MILL RD
4 mutton square rd,1.0,4 MUTTON SQUARE RD
311 columbus smith rd,1.0,311 COLUMBUS SMITH RD
341 dewey rd,1.0,341 DEWEY RD
648 tulley rd,1.0,648 TULLEY RD
1841 n bingham st,1.0,1841 N BINGHAM ST
1028 w salisbury rd,1.0,1028 W SALISBURY RD
881 ridge rd,1.0,881 RIDGE RD
