phase_1_address,score,e911_address
770 CIDER MILL RD,1.0,770 CIDER MILL RD
711 DELONG RD,1.0,711 DELONG RD
1367 SHACKSBORO RD,1.0,1367 SHACKSBORO RD
4467 RICHVILLE RD,1.0,4467 RICHVILLE RD
175 MEADOW LN,1.0,175 MEADOW LN
323 SHACKSBORO RD,1.0,323 SHACKSBORO RD
2011 N BINGHAM ST,1.0,2011 N BINGHAM ST
1332 CIDER MILL RD,1.0,1332 CIDER MILL RD
655 CIDER MILL RD,1.0,655 CIDER MILL RD
312 PALMER RD,1.0,312 PALMER RD
440 DEWEY RD,1.0,440 DEWEY RD
27 ANDRUS PITCH,1.0,27 ANDRUS PITCH
130 BEAVER BROOK RD,1.0,130 BEAVER BROOK RD
703 CIDER MILL RD,1.0,703 CIDER MILL RD
1091 LELAND RD,1.0,1091 LELAND RD
2240 SHARD VILLA RD,1.0,2240 SHARD VILLA RD
155 PIDGEON RD E,1.0,155 PIDGEON RD E
659 SHARD VILLA RD,1.0,659 SHARD VILLA RD
536 RICHVILLE RD,1.0,536 RICHVILLE RD
297 LAPHAM BAY RD,1.0,297 LAPHAM BAY RD
357 N ORWELL RD,1.0,357 N ORWELL RD
1928 LELAND RD,1.0,1928 LELAND RD
896 RIDGE RD,1.0,896 RIDGE RD
70 DEWEY RD,1.0,70 DEWEY RD
3143 RICHVILLE RD,1.0,3143 RICHVILLE RD
99 SUNSET ORCHARD RD,1.0,99 SUNSET ORCHARD RD
1712 SPERRY RD,1.0,1712 SPERRY RD
380 ROBBINS RD,1.0,380 ROBBINS RD
97 WILDFLOWER LN,1.0,97 WILDFLOWER Ln
979 BATES RD,1.0,979 BATES RD
457 CIDER MILL RD,1.0,457 CIDER MILL RD
1019 CIDER MILL RD,1.0,1019 CIDER MILL RD
4 MUTTON SQUARE RD,1.0,4 MUTTON SQUARE RD
311 COLUMBUS SMITH RD,1.0,311 COLUMBUS SMITH RD
341 DEWEY RD,1.0,341 DEWEY RD
648 TULLEY RD,1.0,648 TULLEY RD
1841 N BINGHAM ST,1.0,1841 N BINGHAM ST
1028 W SALISBURY RD,1.0,1028 W SALISBURY RD
881 RIDGE RD,1.0,881 RIDGE RD
21 SAMPSON RD,1.0,21 SAMPSON RD
961 RIDGE RD,1.0,961 RIDGE RD
156 N ORWELL RD,1.0,156 N ORWELL RD
23 CHURCH ST,1.0,23 CHURCH ST
46 CHURCH ST,1.0,46 CHURCH St
48 CHURCH ST,1.0,48 CHURCH St
310 MIDDLE RD,1.0,310 MIDDLE RD
273 ANDRUS PITCH,1.0,273 ANDRUS PITCH
282 LELAND RD,1.0,282 LELAND RD
1788 HALLADAY RD,1.0,1788 HALLADAY RD
239 N ORWELL RD,1.0,239 N ORWELL RD
548 JAMES RD,1.0,548 JAMES RD
118 MURRAY RD,1.0,118 MURRAY RD
883 COLUMBUS SMITH RD,1.0,883 COLUMBUS SMITH RD
4 MURRAY RD,1.0,4 MURRAY RD
213 MAIN ST,1.0,213 MAIN ST
1176 MORGAN RD,1.0,1176 MORGAN RD
859 MORGAN RD,1.0,859 MORGAN RD
422 DELONG LN,1.0,422 DELONG LN
2815 OLD JERUSALEM RD,1.0,2815 OLD JERUSALEM RD
385 MAIN ST,1.0,385 MAIN ST
215 LEDGE LN,1.0,215 LEDGE Ln
376 W SALISBURY RD,1.0,376 W SALISBURY RD
2296 MORSE RD,1.0,2296 MORSE RD
384 PEET RD,1.0,384 PEET RD
73 HORNBEAM HILL RD,1.0,73 HORNBEAM HILL RD
473 MAIN ST,1.0,473 MAIN ST
78 SMITH RD,1.0,78 SMITH RD
162 N ORWELL RD,1.0,162 N ORWELL RD
1293 SHACKSBORO RD,1.0,1293 SHACKSBORO RD
375 PALMER RD,1.0,375 PALMER RD
62 MURRAY RD,1.0,62 MURRAY RD
231 BOURDEAU RD,1.0,231 BOURDEAU RD
