address,score,e911_address
1557 west shore rd,0.5,1557 W SHORE RD
743 swinington hill rd,1.0,743 SWININGTON HILL RD
100 comfort hl,0.0,100 GREEN St
3255 lake dunmore rd,1.0,3255 LAKE DUNMORE RD
112 s main st,1.0,112 S MAIN St
295 leicester whiting rd,1.0,295 LEICESTER WHITING RD
15 second st,0.3333333333333333,15 E St
8 mechanics st,0.3333333333333333,8 E St
20 mountainview dr,1.0,20 MOUNTAINVIEW DR
119 owls ave,0.0,119 W MAIN St
29 monkton rd,1.0,29 MONKTON RD
305 lakeview dr,1.0,305 LAKEVIEW DR
4234 us route 7,0.6666666666666666,4234 ROUTE 7
1570 smead rd,0.0,1570 ROUTE 30
96 s water st,1.0,96 S WATER St
164 stevens orchard rd,0.25,164 ANNEX RD
1849 walker rd,0.3333333333333333,1849 MOUNTAIN RD
155 bay shore dr,1.0,155 BAY SHORE DR
399 shackett rd,1.0,399 SHACKETT RD
1549 fuller mountain rd,0.5,1549 FULLER MTN. RD
55 horton rd,0.3333333333333333,55 BEDFORD RD
175 plank rd,1.0,175 PLANK RD
319 west shore rd,0.25,319 IRELAND RD
237 brunet ln,1.0,237 BRUNET Ln
57 mcknight ln,0.3333333333333333,57 MEADOW Ln
34 chickadee ave,0.0,34 BOWMAN RD
323 fern lake rd,1.0,323 FERN LAKE RD
46 beech ln,1.0,46 BEECH Ln
320 leisure ln,0.3333333333333333,320 LAKESIDE Ln
336 indian trl,1.0,336 INDIAN TRL
20 monkton rd,1.0,20 MONKTON RD
108 dogwood dr,1.0,108 DOGWOOD DR
50 leicester whiting rd,0.25,50 MONKTON RD
1769 lake dunmore rd,1.0,1769 LAKE DUNMORE RD
6 second st,0.3333333333333333,6 S St
17 mud dock rd,1.0,17 MUD DOCK RD
115 s maple st,0.25,115 MAIN St
3173 hawkins rd,1.0,3173 HAWKINS RD
746 greenbush rd,1.0,746 GREENBUSH RD
1045 shellhouse mountain rd,0.5,1045 SHELLHOUSE MTN. RD
107 bullock rd,0.3333333333333333,107 PANTON RD
72 school st,1.0,72 SCHOOL St
78 depot rd,1.0,78 DEPOT RD
600 fern lake rd,0.25,600 BOTSFORD RD
25 locust ln,1.0,25 LOCUST Ln
1316 little chicago rd,0.25,1316 FORREST RD
177 seagul cir,0.0,177 CROSBY HEIGHTS
645 upper plains rd,1.0,645 UPPER PLAINS RD
265 singing cedars rd,0.6666666666666666,265 SINGING CEDARS
35 s water st,1.0,35 S WATER St
3313 sand rd,1.0,3313 SAND RD
38 dean rd,1.0,38 DEAN RD
732 vt route 73,0.25,732 ROUTE 73E
8 second st,0.3333333333333333,8 E St
244 ridge view dr,0.25,244 KELTON Dr
128 schoolhouse rd,1.0,128 SCHOOLHOUSE RD
3853 monkton rd,1.0,3853 MONKTON RD
47 rustic ct,0.0,47 GREEN St
5467 us route 7,0.6666666666666666,5467 ROUTE 7
1866 hooker rd,1.0,1866 HOOKER RD
3045 lake dunmore rd,1.0,3045 LAKE DUNMORE RD
161 main st,1.0,161 MAIN St
518 maple st,0.0,518 HARDSCRABBLE RD
23 first st,0.3333333333333333,23 SHOROUTE St
382 timber ln,0.0,382 S MAIN St
28 vanders wey,0.3333333333333333,28 VANDER'S WEY
1302 delorm rd,1.0,1302 DELORM RD
284 indian trl,1.0,284 INDIAN TRL
211 westside dr,0.3333333333333333,211 WSIDE DR
1056 fern lake rd,0.25,1056 LAFAYETTE RD
3031 lake dunmore rd,1.0,3031 LAKE DUNMORE RD
18 west st,0.3333333333333333,18 E St
41 bay shore dr,1.0,41 BAY SHORE DR
18 comfort hl,0.0,18 N MAPLE St
23 needham hill rd,1.0,23 NEEDHAM HILL RD
62 meigs rd,1.0,62 MEIGS RD
24 cram rd,1.0,24 CRAM RD
1457 lake dunmore rd,1.0,1457 LAKE DUNMORE RD
101 sandy point ln,1.0,101 SANDY POINT Ln
149 pine cone ln,1.0,149 PINE CONE Ln
217 ferson rd,1.0,217 FERSON RD
11 moosalamoo club rd,0.25,11 BOWMAN RD
66 brebeuf ter,0.0,66 S WATER St
107 griswold ln,0.0,107 PANTON RD
2629 sand rd,1.0,2629 SAND RD
18 bilodeau rd,0.3333333333333333,18 BOWMAN RD
464 rustic ln,0.0,464 CARR RD
1033 bullock rd,1.0,1033 BULLOCK RD
83 sandy point ln,1.0,83 SANDY POINT Ln
668 sunset lake rd,0.6666666666666666,668 SUNSET LAKE
30 griswold ln,1.0,30 GRISWOLD Ln
2235 leicester whiting rd,1.0,2235 LEICESTER WHITING RD
187 tuppers xing,0.3333333333333333,187 TUPPERS CROSSING
8 mcknight ln,0.3333333333333333,8 SCOVEL Ln
2169 s middlebrook rd,1.0,2169 S MIDDLEBROOK RD
111 holly ln,1.0,111 HOLLY Ln
147 mount independence rd,0.5,147 MOUNT PHILO RD
191 s maple st,1.0,191 S MAPLE St
62 chipmans point rd,0.25,62 MEIGS RD
781 nichols rd,1.0,781 NICHOLS RD
95 s cove trl,0.2,95 S WATER St
